title,price,seller
[MỚI] Điện thoại vivo Y17s - Hàng chính hãng - Camera 50MP - Pin 5000 mAh - Sạc nhanh- RAM mở rộng đến 8GB,3.990.000₫ ₫,
Điện thoại Samsung Galaxy A14 (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,3.350.000₫ ₫,
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,3.350.000₫ ₫,
Điện thoại POCO M5 4GB+64GB/6GB+128GB | Pin 5000mAh | MediaTek Helio G99 | Sạc nhanh 18W - Hàng chính hãng,2.596.000₫ ₫,THẮNG THAO MOBILE
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng,22.990.000₫ ₫,
